run_id,config_dir,scaffold,model,agent_args,config_label,rep_idx,capsule_id,job_id,azure_task_id,successful,correct_written_answers,total_written_questions,correct_vision_answers,total_vision_questions,harness_successful,harness_eval_block_present,harness_accuracy,harness_written_accuracy,harness_vision_accuracy,duration_s,duration_source,total_cost_usd,cost_source,input_tokens,cached_input_tokens,cache_creation_tokens,output_tokens,total_tokens,num_turns,num_tool_calls,num_permission_denials,terminal_reason,stop_reason,submitted_at,logging_started_at,setup_overhead_s,task_timeout_s,benchmark,parse_warnings,split,confidence,confidence_method,confidence_model,num_commands,num_errors,reward,confidence_v2,confidence_method_v2,confidence_model_v2,cost,agent_id
main39-2026-05-03,corebench_hard_claude_code_agent_anthropic_claude_opus_4_5_max_thinking_tokens_10000_k0,claude_code,anthropic/claude-opus-4-5,"[[""max_thinking_tokens"", ""10000""]]",claude_code|claude-opus-4-5|max_thinking_tokens=10000,0,capsule-1175539,b43b21e9-0dc9-4ce7-8557-bae7d0802ac1,anthropic-claude-opus-4-5-capsule-1175539-max_thinking_-8253241b,True,0,0,1,1,True,True,1.0,,1.0,382.876,claude_code_result,0.5991945,claude_code_result,128.0,471845.0,33140.0,6191.0,511304.0,23.0,22.0,0.0,completed,end_turn,2026-04-23T00:17:11.762298+00:00,2026-04-23T00:20:40.047812,208.285514,0.0,corebench_hard,[],main39,,,,,,1.0,,,,0.5991945,corebench_hard_claude_code_agent_anthropic_claude_opus_4_5_max_thinking_tokens_10000
main39-2026-05-03,corebench_hard_claude_code_agent_anthropic_claude_opus_4_5_max_thinking_tokens_10000_k0,claude_code,anthropic/claude-opus-4-5,"[[""max_thinking_tokens"", ""10000""]]",claude_code|claude-opus-4-5|max_thinking_tokens=10000,0,capsule-1624349,b43b21e9-0dc9-4ce7-8557-bae7d0802ac1,anthropic-claude-opus-4-5-capsule-1624349-max_thinking_-029881b6,True,1,1,1,1,True,True,1.0,1.0,1.0,123.574,claude_code_result,0.44397650000000005,claude_code_result,121.0,407372.0,19734.0,4624.0,431851.0,23.0,22.0,0.0,completed,end_turn,2026-04-23T00:17:11.442075+00:00,2026-04-23T00:20:34.068451,202.626376,0.0,corebench_hard,[],main39,,,,,,1.0,,,,0.44397650000000005,corebench_hard_claude_code_agent_anthropic_claude_opus_4_5_max_thinking_tokens_10000
main39-2026-05-03,corebench_hard_claude_code_agent_anthropic_claude_opus_4_5_max_thinking_tokens_10000_k0,claude_code,anthropic/claude-opus-4-5,"[[""max_thinking_tokens"", ""10000""]]",claude_code|claude-opus-4-5|max_thinking_tokens=10000,0,capsule-0201673,b43b21e9-0dc9-4ce7-8557-bae7d0802ac1,anthropic-claude-opus-4-5-capsule-0201673-max_thinking_-f906921f,True,3,3,0,0,True,True,1.0,1.0,,105.302,claude_code_result,0.33503225000000003,claude_code_result,93.0,305311.0,18407.0,2646.0,326457.0,18.0,17.0,0.0,completed,end_turn,2026-04-23T00:17:13.577964+00:00,2026-04-23T00:20:35.188792,201.610828,0.0,corebench_hard,[],main39,,,,,,1.0,,,,0.33503225000000003,corebench_hard_claude_code_agent_anthropic_claude_opus_4_5_max_thinking_tokens_10000
main39-2026-05-03,corebench_hard_claude_code_agent_anthropic_claude_opus_4_5_max_thinking_tokens_10000_k0,claude_code,anthropic/claude-opus-4-5,"[[""max_thinking_tokens"", ""10000""]]",claude_code|claude-opus-4-5|max_thinking_tokens=10000,0,capsule-0504157,b43b21e9-0dc9-4ce7-8557-bae7d0802ac1,anthropic-claude-opus-4-5-capsule-0504157-max_thinking_-01b0edb9,True,0,0,1,1,True,True,1.0,,1.0,400.123,claude_code_result,0.9985877500000001,claude_code_result,240.0,1107756.0,34695.0,9037.0,1151728.0,39.0,38.0,0.0,completed,end_turn,2026-04-23T00:17:11.632668+00:00,2026-04-23T00:20:37.366749,205.734081,0.0,corebench_hard,[],main39,,,,,,1.0,,,,0.9985877500000001,corebench_hard_claude_code_agent_anthropic_claude_opus_4_5_max_thinking_tokens_10000
main39-2026-05-03,corebench_hard_claude_code_agent_anthropic_claude_opus_4_5_max_thinking_tokens_10000_k0,claude_code,anthropic/claude-opus-4-5,"[[""max_thinking_tokens"", ""10000""]]",claude_code|claude-opus-4-5|max_thinking_tokens=10000,0,capsule-2242462,b43b21e9-0dc9-4ce7-8557-bae7d0802ac1,anthropic-claude-opus-4-5-capsule-2242462-max_thinking_-4db4c88e,True,2,2,0,0,True,True,1.0,1.0,,118.424,claude_code_result,0.4017185,claude_code_result,108.0,375344.0,20006.0,3509.0,398967.0,21.0,20.0,0.0,completed,end_turn,2026-04-23T00:17:13.437944+00:00,2026-04-23T00:21:14.180605,240.742661,0.0,corebench_hard,[],main39,,,,,,1.0,,,,0.4017185,corebench_hard_claude_code_agent_anthropic_claude_opus_4_5_max_thinking_tokens_10000
main39-2026-05-03,corebench_hard_claude_code_agent_anthropic_claude_opus_4_5_max_thinking_tokens_10000_k0,claude_code,anthropic/claude-opus-4-5,"[[""max_thinking_tokens"", ""10000""]]",claude_code|claude-opus-4-5|max_thinking_tokens=10000,0,capsule-0851068,b43b21e9-0dc9-4ce7-8557-bae7d0802ac1,anthropic-claude-opus-4-5-capsule-0851068-max_thinking_-f10748b9,False,0,1,0,0,False,True,,,,1083.325,claude_code_result,1.3330567499999997,claude_code_result,170.0,970157.0,116021.0,4852.0,1091200.0,34.0,33.0,0.0,completed,end_turn,2026-04-23T00:17:11.770539+00:00,2026-04-23T00:20:41.075362,209.304823,0.0,corebench_hard,[],main39,,,,,,0.0,,,,1.3330567499999997,corebench_hard_claude_code_agent_anthropic_claude_opus_4_5_max_thinking_tokens_10000
main39-2026-05-03,corebench_hard_claude_code_agent_anthropic_claude_opus_4_5_max_thinking_tokens_10000_k0,claude_code,anthropic/claude-opus-4-5,"[[""max_thinking_tokens"", ""10000""]]",claude_code|claude-opus-4-5|max_thinking_tokens=10000,0,capsule-0152700,b43b21e9-0dc9-4ce7-8557-bae7d0802ac1,anthropic-claude-opus-4-5-capsule-0152700-max_thinking_-f5bfdc2c,True,1,1,2,2,True,True,1.0,1.0,1.0,604.451,claude_code_result,1.9103180000000004,claude_code_result,289.0,2294165.0,83034.0,9678.0,2387166.0,56.0,55.0,0.0,completed,end_turn,2026-04-23T00:17:13.522850+00:00,2026-04-23T00:20:40.336150,206.8133,0.0,corebench_hard,[],main39,,,,,,1.0,,,,1.9103180000000004,corebench_hard_claude_code_agent_anthropic_claude_opus_4_5_max_thinking_tokens_10000
main39-2026-05-03,corebench_hard_claude_code_agent_anthropic_claude_opus_4_5_max_thinking_tokens_10000_k0,claude_code,anthropic/claude-opus-4-5,"[[""max_thinking_tokens"", ""10000""]]",claude_code|claude-opus-4-5|max_thinking_tokens=10000,0,capsule-3449234,b43b21e9-0dc9-4ce7-8557-bae7d0802ac1,anthropic-claude-opus-4-5-capsule-3449234-max_thinking_-58218e51,True,0,0,1,1,True,True,1.0,,1.0,494.94,claude_code_result,2.1105697500000002,claude_code_result,310.0,2227357.0,70161.0,22243.0,2320071.0,47.0,46.0,0.0,completed,end_turn,2026-04-23T00:17:10.692231+00:00,2026-04-23T00:19:25.643519,134.951288,0.0,corebench_hard,[],main39,,,,,,1.0,,,,2.1105697500000002,corebench_hard_claude_code_agent_anthropic_claude_opus_4_5_max_thinking_tokens_10000
main39-2026-05-03,corebench_hard_claude_code_agent_anthropic_claude_opus_4_5_max_thinking_tokens_10000_k0,claude_code,anthropic/claude-opus-4-5,"[[""max_thinking_tokens"", ""10000""]]",claude_code|claude-opus-4-5|max_thinking_tokens=10000,0,capsule-2345790,b43b21e9-0dc9-4ce7-8557-bae7d0802ac1,anthropic-claude-opus-4-5-capsule-2345790-max_thinking_-6a2f68c2,True,2,2,0,0,True,True,1.0,1.0,,1602.957,claude_code_result,1.9555327500000004,claude_code_result,832.0,2264969.0,85493.0,11351.0,2362645.0,66.0,65.0,0.0,completed,end_turn,2026-04-23T00:17:11.775910+00:00,2026-04-23T00:20:35.390812,203.614902,0.0,corebench_hard,[],main39,,,,,,1.0,,,,1.9555327500000004,corebench_hard_claude_code_agent_anthropic_claude_opus_4_5_max_thinking_tokens_10000
main39-2026-05-03,corebench_hard_claude_code_agent_anthropic_claude_opus_4_5_max_thinking_tokens_10000_k0,claude_code,anthropic/claude-opus-4-5,"[[""max_thinking_tokens"", ""10000""]]",claude_code|claude-opus-4-5|max_thinking_tokens=10000,0,capsule-3418007,b43b21e9-0dc9-4ce7-8557-bae7d0802ac1,anthropic-claude-opus-4-5-capsule-3418007-max_thinking_-69f2618a,True,1,1,1,1,True,True,1.0,1.0,1.0,681.434,claude_code_result,1.180059,claude_code_result,254.0,1344438.0,42200.0,9684.0,1396576.0,41.0,40.0,0.0,completed,end_turn,2026-04-23T00:17:11.058649+00:00,2026-04-23T00:20:39.288092,208.229443,0.0,corebench_hard,[],main39,,,,,,1.0,,,,1.180059,corebench_hard_claude_code_agent_anthropic_claude_opus_4_5_max_thinking_tokens_10000
main39-2026-05-03,corebench_hard_claude_code_agent_anthropic_claude_opus_4_5_max_thinking_tokens_10000_k0,claude_code,anthropic/claude-opus-4-5,"[[""max_thinking_tokens"", ""10000""]]",claude_code|claude-opus-4-5|max_thinking_tokens=10000,0,capsule-3639589,b43b21e9-0dc9-4ce7-8557-bae7d0802ac1,anthropic-claude-opus-4-5-capsule-3639589-max_thinking_-63955fa6,True,0,0,1,1,True,True,1.0,,1.0,316.244,claude_code_result,0.7996690000000001,claude_code_result,210.0,888990.0,34352.0,5548.0,929100.0,28.0,27.0,0.0,completed,end_turn,2026-04-23T00:17:11.696153+00:00,2026-04-23T00:20:37.366699,205.670546,0.0,corebench_hard,[],main39,,,,,,1.0,,,,0.7996690000000001,corebench_hard_claude_code_agent_anthropic_claude_opus_4_5_max_thinking_tokens_10000
